data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
FS536_5,0.828,0.291,0.756,0.235,0.899,0.511,0.909,0.526,0.864,0.41
FS536_4,0.828,0.291,0.756,0.235,0.912,0.623,0.9,0.528,0.857,0.375
FS536_3,0.828,0.291,0.756,0.235,0.909,0.597,0.897,0.478,0.849,0.36
FS536_2,0.828,0.291,0.756,0.235,0.901,0.511,0.907,0.56,0.873,0.437
FS536_1,0.828,0.291,0.756,0.235,0.912,0.621,0.908,0.562,0.846,0.334
G4_py698_5,0.716,0.09,0.773,0.221,0.906,0.626,0.9,0.583,0.906,0.679
G4_py698_4,0.716,0.09,0.773,0.221,0.905,0.626,0.895,0.543,0.906,0.675
G4_py698_3,0.716,0.09,0.773,0.221,0.908,0.64,0.912,0.665,0.886,0.552
G4_py698_2,0.716,0.09,0.773,0.221,0.909,0.65,0.909,0.635,0.908,0.688
G4_py698_1,0.716,0.09,0.773,0.221,0.897,0.586,0.889,0.506,0.884,0.523
SFS536_5,0.784,0.409,0.77,0.381,0.946,0.799,0.949,0.799,0.937,0.776
SFS536_4,0.784,0.409,0.77,0.381,0.948,0.793,0.949,0.806,0.904,0.647
SFS536_3,0.784,0.409,0.77,0.381,0.929,0.703,0.953,0.817,0.938,0.778
SFS536_2,0.784,0.409,0.77,0.381,0.947,0.785,0.948,0.8,0.932,0.759
SFS536_1,0.784,0.409,0.77,0.381,0.948,0.799,0.947,0.797,0.941,0.785
SD1H1000_5,0.871,0.656,0.869,0.68,0.901,0.721,0.929,0.816,0.935,0.84
SD1H1000_4,0.871,0.656,0.869,0.68,0.883,0.684,0.888,0.693,0.937,0.846
SD1H1000_3,0.871,0.656,0.869,0.68,0.937,0.847,0.933,0.828,0.855,0.605
SD1H1000_2,0.871,0.656,0.869,0.68,0.936,0.84,0.929,0.819,0.926,0.815
SD1H1000_1,0.871,0.656,0.869,0.68,0.933,0.834,0.936,0.84,0.763,0.434
SD1H300_5,0.836,0.637,0.881,0.69,0.918,0.77,0.93,0.827,0.878,0.673
SD1H300_4,0.836,0.637,0.881,0.69,0.912,0.77,0.931,0.81,0.918,0.8
SD1H300_3,0.836,0.637,0.881,0.69,0.912,0.76,0.88,0.66,0.852,0.623
SD1H300_2,0.836,0.637,0.881,0.69,0.911,0.763,0.89,0.693,0.819,0.533
SD1H300_1,0.836,0.637,0.881,0.69,0.861,0.62,0.93,0.81,0.92,0.803
SD1H50_5,0.567,0.08,0.893,0.68,0.8,0.54,0.88,0.66,0.847,0.62
SD1H50_4,0.567,0.08,0.893,0.68,0.86,0.64,0.98,0.94,0.927,0.8
SD1H50_3,0.567,0.08,0.893,0.68,0.833,0.6,0.933,0.8,0.887,0.68
SD1H50_2,0.567,0.08,0.893,0.68,0.8,0.52,0.967,0.9,0.947,0.86
SD1H50_1,0.567,0.08,0.893,0.68,0.847,0.6,0.987,0.96,0.847,0.56
SD1L1000_5,0.938,0.833,0.937,0.838,0.911,0.747,0.96,0.892,0.959,0.889
SD1L1000_4,0.938,0.833,0.937,0.838,0.963,0.9,0.949,0.854,0.922,0.776
SD1L1000_3,0.938,0.833,0.937,0.838,0.965,0.904,0.967,0.912,0.905,0.742
SD1L1000_2,0.938,0.833,0.937,0.838,0.966,0.909,0.967,0.913,0.879,0.658
SD1L1000_1,0.938,0.833,0.937,0.838,0.967,0.912,0.966,0.909,0.916,0.763
SD1L300_5,0.938,0.833,0.948,0.863,0.96,0.883,0.962,0.89,0.963,0.897
SD1L300_4,0.938,0.833,0.948,0.863,0.958,0.877,0.967,0.903,0.953,0.863
SD1L300_3,0.938,0.833,0.948,0.863,0.959,0.883,0.96,0.887,0.917,0.767
SD1L300_2,0.938,0.833,0.948,0.863,0.961,0.887,0.967,0.903,0.958,0.883
SD1L300_1,0.938,0.833,0.948,0.863,0.959,0.88,0.962,0.893,0.911,0.753
SD1L50_5,0.947,0.86,0.96,0.88,0.913,0.78,0.98,0.94,0.967,0.9
SD1L50_4,0.947,0.86,0.96,0.88,0.873,0.7,0.98,0.94,0.973,0.92
SD1L50_3,0.947,0.86,0.96,0.88,0.94,0.84,0.98,0.94,0.913,0.74
SD1L50_2,0.947,0.86,0.96,0.88,0.933,0.82,0.927,0.82,0.973,0.92
SD1L50_1,0.947,0.86,0.96,0.88,0.893,0.7,0.927,0.82,0.98,0.94
SD2H1000_5,0.941,0.841,0.928,0.812,0.952,0.861,0.942,0.838,0.881,0.665
SD2H1000_4,0.941,0.841,0.928,0.812,0.908,0.744,0.962,0.894,0.961,0.891
SD2H1000_3,0.941,0.841,0.928,0.812,0.882,0.666,0.912,0.749,0.966,0.905
SD2H1000_2,0.941,0.841,0.928,0.812,0.914,0.756,0.963,0.897,0.965,0.903
SD2H1000_1,0.941,0.841,0.928,0.812,0.843,0.569,0.911,0.746,0.941,0.832
SD2H300_5,0.91,0.76,0.927,0.803,0.871,0.657,0.92,0.77,0.969,0.917
SD2H300_4,0.91,0.76,0.927,0.803,0.87,0.65,0.921,0.773,0.883,0.69
SD2H300_3,0.91,0.76,0.927,0.803,0.869,0.647,0.918,0.763,0.94,0.84
SD2H300_2,0.91,0.76,0.927,0.803,0.942,0.84,0.976,0.933,0.97,0.92
SD2H300_1,0.91,0.76,0.927,0.803,0.957,0.873,0.923,0.777,0.967,0.913
SD2H50_5,0.86,0.62,0.9,0.74,0.88,0.72,0.933,0.84,0.9,0.74
SD2H50_4,0.86,0.62,0.9,0.74,0.833,0.58,0.933,0.84,0.893,0.74
SD2H50_3,0.86,0.62,0.9,0.74,0.913,0.78,0.933,0.8,0.9,0.72
SD2H50_2,0.86,0.62,0.9,0.74,0.893,0.72,0.947,0.86,0.86,0.66
SD2H50_1,0.86,0.62,0.9,0.74,0.813,0.5,0.94,0.84,0.9,0.76
SD2L1000_5,0.994,0.985,0.993,0.981,0.951,0.857,0.955,0.867,0.882,0.648
SD2L1000_4,0.994,0.985,0.993,0.981,0.995,0.986,0.995,0.986,0.993,0.979
SD2L1000_3,0.994,0.985,0.993,0.981,0.989,0.968,0.943,0.828,0.996,0.987
SD2L1000_2,0.994,0.985,0.993,0.981,0.996,0.987,0.957,0.873,0.897,0.693
SD2L1000_1,0.994,0.985,0.993,0.981,0.995,0.985,0.937,0.814,0.994,0.983
SD2L300_5,0.99,0.97,0.988,0.963,0.993,0.98,0.996,0.987,0.988,0.963
SD2L300_4,0.99,0.97,0.988,0.963,0.994,0.983,0.99,0.97,0.988,0.967
SD2L300_3,0.99,0.97,0.988,0.963,0.988,0.967,0.957,0.873,0.989,0.967
SD2L300_2,0.99,0.97,0.988,0.963,0.99,0.97,0.996,0.987,0.982,0.947
SD2L300_1,0.99,0.97,0.988,0.963,0.976,0.927,0.99,0.97,0.988,0.963
SD2L50_5,0.98,0.94,0.98,0.94,0.973,0.92,0.993,0.98,0.953,0.86
SD2L50_4,0.98,0.94,0.98,0.94,0.967,0.92,0.887,0.66,0.967,0.92
SD2L50_3,0.98,0.94,0.98,0.94,0.973,0.92,0.98,0.94,0.973,0.92
SD2L50_2,0.98,0.94,0.98,0.94,0.967,0.9,0.96,0.88,0.98,0.94
SD2L50_1,0.98,0.94,0.98,0.94,0.973,0.92,0.993,0.98,0.96,0.88
SD3H1000_5,0.735,0.212,0.781,0.313,0.906,0.679,0.901,0.634,0.906,0.713
SD3H1000_4,0.735,0.212,0.781,0.313,0.913,0.72,0.913,0.691,0.907,0.714
SD3H1000_3,0.735,0.212,0.781,0.313,0.914,0.729,0.914,0.699,0.91,0.731
SD3H1000_2,0.735,0.212,0.781,0.313,0.913,0.725,0.901,0.641,0.877,0.538
SD3H1000_1,0.735,0.212,0.781,0.313,0.887,0.56,0.894,0.61,0.906,0.716
SD3H300_5,0.738,0.26,0.791,0.293,0.891,0.547,0.935,0.727,0.885,0.61
SD3H300_4,0.738,0.26,0.791,0.293,0.913,0.653,0.937,0.743,0.847,0.457
SD3H300_3,0.738,0.26,0.791,0.293,0.925,0.697,0.927,0.707,0.849,0.473
SD3H300_2,0.738,0.26,0.791,0.293,0.883,0.517,0.935,0.727,0.89,0.64
SD3H300_1,0.738,0.26,0.791,0.293,0.893,0.54,0.932,0.72,0.886,0.61
SD3H50_5,0.768,0.32,0.764,0.34,0.896,0.6,0.94,0.78,0.848,0.44
SD3H50_4,0.768,0.32,0.764,0.34,0.908,0.62,0.924,0.72,0.876,0.56
SD3H50_3,0.768,0.32,0.764,0.34,0.896,0.6,0.908,0.7,0.868,0.5
SD3H50_2,0.768,0.32,0.764,0.34,0.92,0.68,0.892,0.64,0.856,0.54
SD3H50_1,0.768,0.32,0.764,0.34,0.908,0.64,0.92,0.72,0.856,0.5
SD3L1000_5,0.858,0.508,0.794,0.309,0.939,0.766,0.937,0.751,0.935,0.762
SD3L1000_4,0.858,0.508,0.794,0.309,0.943,0.783,0.939,0.76,0.936,0.762
SD3L1000_3,0.858,0.508,0.794,0.309,0.925,0.691,0.915,0.637,0.906,0.626
SD3L1000_2,0.858,0.508,0.794,0.309,0.917,0.646,0.942,0.766,0.916,0.658
SD3L1000_1,0.858,0.508,0.794,0.309,0.937,0.758,0.94,0.758,0.935,0.755
SD3L300_5,0.869,0.503,0.809,0.31,0.923,0.67,0.932,0.7,0.908,0.697
SD3L300_4,0.869,0.503,0.809,0.31,0.924,0.67,0.925,0.7,0.903,0.673
SD3L300_3,0.869,0.503,0.809,0.31,0.919,0.66,0.937,0.74,0.898,0.637
SD3L300_2,0.869,0.503,0.809,0.31,0.929,0.697,0.929,0.703,0.908,0.697
SD3L300_1,0.869,0.503,0.809,0.31,0.921,0.667,0.939,0.74,0.91,0.7
SD3L50_5,0.836,0.36,0.832,0.38,0.912,0.62,0.944,0.76,0.908,0.64
SD3L50_4,0.836,0.36,0.832,0.38,0.94,0.74,0.944,0.74,0.912,0.64
SD3L50_3,0.836,0.36,0.832,0.38,0.936,0.72,0.952,0.78,0.908,0.68
SD3L50_2,0.836,0.36,0.832,0.38,0.92,0.64,0.932,0.72,0.892,0.66
SD3L50_1,0.836,0.36,0.832,0.38,0.936,0.72,0.94,0.76,0.916,0.7
SD4H1000_5,0.882,0.536,0.835,0.399,0.898,0.557,0.939,0.735,0.912,0.64
SD4H1000_4,0.882,0.536,0.835,0.399,0.944,0.752,0.937,0.726,0.911,0.635
SD4H1000_3,0.882,0.536,0.835,0.399,0.897,0.553,0.924,0.672,0.92,0.68
SD4H1000_2,0.882,0.536,0.835,0.399,0.934,0.714,0.937,0.731,0.921,0.68
SD4H1000_1,0.882,0.536,0.835,0.399,0.939,0.724,0.929,0.7,0.88,0.52
SD4H300_5,0.829,0.377,0.859,0.473,0.93,0.707,0.934,0.757,0.899,0.63
SD4H300_4,0.829,0.377,0.859,0.473,0.931,0.7,0.947,0.783,0.916,0.7
SD4H300_3,0.829,0.377,0.859,0.473,0.925,0.677,0.925,0.7,0.917,0.707
SD4H300_2,0.829,0.377,0.859,0.473,0.893,0.533,0.927,0.703,0.915,0.687
SD4H300_1,0.829,0.377,0.859,0.473,0.927,0.7,0.904,0.6,0.916,0.687
SD4H50_5,0.828,0.38,0.828,0.36,0.912,0.68,0.92,0.76,0.896,0.6
SD4H50_4,0.828,0.38,0.828,0.36,0.86,0.52,0.924,0.76,0.872,0.56
SD4H50_3,0.828,0.38,0.828,0.36,0.844,0.44,0.936,0.82,0.904,0.66
SD4H50_2,0.828,0.38,0.828,0.36,0.824,0.4,0.904,0.72,0.868,0.58
SD4H50_1,0.828,0.38,0.828,0.36,0.872,0.62,0.924,0.74,0.88,0.58
SD4L1000_5,0.969,0.857,0.916,0.62,0.978,0.896,0.981,0.912,0.954,0.788
SD4L1000_4,0.969,0.857,0.916,0.62,0.977,0.889,0.976,0.887,0.979,0.901
SD4L1000_3,0.969,0.857,0.916,0.62,0.979,0.901,0.98,0.903,0.962,0.829
SD4L1000_2,0.969,0.857,0.916,0.62,0.962,0.829,0.983,0.919,0.959,0.81
SD4L1000_1,0.969,0.857,0.916,0.62,0.946,0.752,0.981,0.909,0.971,0.863
SD4L300_5,0.947,0.763,0.897,0.577,0.969,0.857,0.971,0.863,0.967,0.857
SD4L300_4,0.947,0.763,0.897,0.577,0.967,0.847,0.971,0.867,0.959,0.817
SD4L300_3,0.947,0.763,0.897,0.577,0.963,0.823,0.966,0.837,0.966,0.85
SD4L300_2,0.947,0.763,0.897,0.577,0.972,0.863,0.964,0.83,0.967,0.85
SD4L300_1,0.947,0.763,0.897,0.577,0.967,0.85,0.973,0.88,0.965,0.847
SD4L50_5,0.948,0.78,0.868,0.42,0.976,0.9,0.952,0.78,0.936,0.74
SD4L50_4,0.948,0.78,0.868,0.42,0.972,0.92,0.956,0.82,0.936,0.74
SD4L50_3,0.948,0.78,0.868,0.42,0.972,0.88,0.96,0.86,0.948,0.76
SD4L50_2,0.948,0.78,0.868,0.42,0.964,0.9,0.964,0.84,0.956,0.78
SD4L50_1,0.948,0.78,0.868,0.42,0.96,0.84,0.964,0.86,0.932,0.72
