"","MLE.skill1","MLE.skill2","MLE.skill3","MLE.skill4","MLE.skill5","MLE.skill6","MLE.skill7"
"1",1,1,1,0,1,1,1
"2",0,0,1,0,0,1,1
"3",1,0,0,0,1,1,0
"4",0,0,1,0,0,0,1
"5",1,0,1,1,1,1,1
"6",0,0,1,0,0,1,1
"7",1,1,1,1,1,1,1
"8",0,0,1,0,0,1,1
"9",1,1,0,1,1,0,1
"10",0,0,0,0,0,0,0
"11",1,0,1,0,1,0,1
"12",0,0,1,0,0,1,1
"13",1,0,1,0,1,0,1
"14",0,0,1,0,0,0,1
"15",1,1,0,1,1,0,0
"16",0,0,0,0,0,0,0
"17",1,0,0,0,0,1,0
"18",0,0,1,0,0,1,1
"19",1,0,1,1,1,0,1
"20",0,0,1,0,0,1,1
"21",0,1,1,0,1,1,1
"22",0,0,1,0,0,0,1
"23",1,0,1,0,1,0,1
"24",0,0,1,0,0,0,1
"25",1,1,1,1,1,1,1
"26",0,0,1,0,0,1,1
"27",1,1,1,1,1,1,1
"28",0,0,1,0,0,0,0
"29",1,1,1,1,1,1,1
"30",0,0,0,0,0,1,0
"31",1,0,0,1,1,1,0
"32",0,0,1,0,0,1,1
"33",1,0,0,1,0,1,0
"34",0,0,0,0,0,0,1
"35",1,0,0,1,1,0,0
"36",0,0,1,0,0,0,1
"37",1,0,1,0,1,1,0
"38",1,1,1,0,1,1,1
"39",0,0,1,0,0,0,1
"40",1,1,0,0,1,1,0
"41",0,0,1,0,0,1,1
"42",1,0,1,1,1,1,1
"43",0,0,0,0,0,1,0
"44",1,0,1,1,1,1,0
"45",0,0,1,0,0,0,1
"46",1,0,1,1,0,0,0
"47",0,0,0,0,0,1,0
"48",1,1,0,0,1,0,0
"49",0,0,1,0,0,0,1
"50",1,1,1,1,1,1,1
"51",0,0,0,0,0,0,0
"52",0,0,1,0,0,0,1
"53",1,1,1,1,1,1,1
"54",0,0,1,0,0,1,1
"55",1,1,1,1,1,1,1
"56",0,0,1,0,0,1,1
"57",0,0,1,0,0,1,1
"58",1,0,1,1,1,0,1
"59",0,0,0,0,0,1,0
"60",1,0,1,0,1,0,0
"61",0,0,0,0,0,1,0
"62",1,0,0,1,1,1,0
"63",0,0,1,0,0,1,1
"64",0,0,0,0,0,1,0
"65",1,1,1,1,1,0,1
"66",0,0,1,0,0,1,1
"67",1,1,1,1,1,1,1
"68",0,0,1,0,0,1,1
"69",1,1,1,1,1,1,1
"70",0,0,0,0,0,1,0
"71",1,1,1,1,1,1,1
"72",0,0,0,0,0,1,0
"73",1,1,1,0,1,0,1
"74",0,0,1,0,0,0,1
"75",1,0,0,0,0,1,0
"76",0,0,1,0,0,1,1
"77",0,0,0,0,1,1,0
"78",0,0,1,0,0,1,1
"79",1,0,1,1,1,0,1
"80",0,0,1,0,0,1,1
"81",1,0,1,0,1,0,1
"82",0,0,0,0,0,1,0
"83",1,0,0,0,1,0,0
"84",0,0,1,0,0,0,1
"85",1,1,1,1,1,1,0
"86",0,0,0,0,0,1,1
"87",1,1,1,0,1,0,0
"88",0,0,1,0,0,1,1
"89",1,0,1,1,1,1,1
"90",0,0,1,0,0,0,1
"91",1,0,1,1,1,1,1
"92",0,0,1,0,0,1,0
"93",1,1,0,1,1,1,1
"94",0,0,1,0,0,1,1
"95",1,0,1,1,1,1,1
"96",0,0,1,0,0,1,1
"97",1,1,1,1,1,1,1
"98",1,1,1,0,1,1,0
"99",0,0,0,0,0,0,0
"100",1,0,1,0,1,1,0
"101",0,0,0,0,0,1,1
"102",0,0,1,0,0,1,0
"103",1,0,1,0,1,0,0
"104",0,0,1,0,0,1,1
"105",1,0,1,1,1,1,1
"106",0,0,1,0,0,1,1
"107",1,1,0,0,1,0,0
"108",0,0,0,0,0,0,1
"109",1,0,0,1,1,0,0
"110",0,0,1,0,0,1,1
"111",1,0,0,1,1,1,0
"112",0,0,1,0,0,0,0
"113",1,0,0,0,1,0,1
"114",0,0,0,0,0,1,1
"115",1,1,1,1,1,1,1
"116",0,0,0,0,0,0,0
"117",1,0,0,0,1,0,1
"118",0,0,0,0,0,0,0
"119",1,1,1,0,1,1,1
"120",0,0,1,0,0,1,0
"121",0,0,0,1,1,0,0
"122",1,0,0,1,1,0,0
"123",0,0,0,0,0,0,0
"124",1,1,1,1,1,1,1
"125",0,0,0,0,0,1,0
"126",1,1,1,1,1,1,1
"127",0,0,1,0,0,1,1
"128",1,0,1,0,1,0,1
"129",0,0,0,0,0,1,0
"130",1,0,0,1,1,0,0
"131",0,0,0,0,0,1,0
"132",0,0,1,0,0,1,1
"133",1,1,1,1,1,1,1
"134",0,0,1,0,0,1,1
"135",1,0,0,0,1,0,0
"136",0,0,0,0,0,0,0
"137",1,0,0,1,1,1,1
"138",0,0,1,0,0,0,1
"139",1,1,1,0,1,1,1
"140",0,0,0,0,0,0,0
"141",0,1,0,0,1,1,0
"142",0,0,1,0,0,1,0
"143",1,0,0,1,1,1,0
"144",0,0,1,0,0,0,1
"145",1,1,0,0,1,0,0
"146",0,0,0,0,0,1,1
"147",1,1,0,0,1,0,1
"148",0,0,1,0,0,1,1
"149",0,1,0,0,1,1,0
"150",0,0,0,0,0,1,1
"151",1,0,1,1,1,0,1
"152",0,0,0,0,0,1,0
"153",1,1,1,1,1,1,1
"154",0,0,0,0,0,0,0
"155",1,0,0,0,1,0,0
"156",0,0,0,0,0,1,0
"157",1,1,1,1,1,1,1
"158",0,0,1,0,0,1,1
"159",1,1,1,1,1,1,1
"160",0,0,1,0,0,0,1
"161",1,1,1,1,1,1,1
"162",0,0,1,0,0,0,1
"163",1,0,1,0,1,0,1
"164",0,0,1,0,0,1,1
"165",1,0,1,1,1,1,1
"166",0,0,1,0,0,0,1
"167",1,0,1,0,1,0,1
"168",0,0,1,0,0,0,0
"169",0,0,1,0,0,1,1
"170",1,0,0,1,1,0,0
"171",0,0,1,0,0,1,1
"172",1,0,1,0,1,1,0
"173",0,0,1,0,0,0,0
"174",0,0,0,0,0,0,0
"175",0,0,0,0,0,1,0
"176",0,0,1,0,1,0,1
"177",0,0,1,0,0,0,1
"178",1,1,1,1,1,1,1
"179",0,0,1,0,0,1,1
"180",0,0,0,1,1,0,0
"181",0,0,1,0,0,1,1
"182",1,0,1,1,1,0,0
"183",0,0,1,0,0,0,1
"184",1,1,1,1,1,1,1
"185",0,0,1,0,0,0,1
"186",0,0,1,0,0,0,1
"187",1,1,1,0,1,0,1
"188",0,0,0,0,0,0,0
"189",0,0,1,0,0,0,1
"190",1,1,1,1,1,0,0
"191",0,0,0,0,0,0,0
"192",1,0,1,1,1,1,1
"193",1,0,0,0,1,1,1
"194",0,0,0,0,0,0,0
"195",1,1,0,1,0,1,0
"196",0,0,1,0,0,1,1
"197",1,1,1,0,1,1,1
"198",0,0,1,0,0,1,1
"199",1,0,1,1,1,1,1
"200",0,0,1,0,0,1,1
"201",1,0,1,0,1,1,0
"202",0,0,0,0,0,1,0
"203",1,0,0,1,0,1,0
"204",0,0,0,0,0,0,1
"205",1,0,1,1,1,0,1
"206",0,0,0,0,0,1,1
"207",0,1,1,0,0,0,0
"208",0,0,0,0,0,0,0
"209",1,0,0,1,1,1,1
"210",0,0,1,0,0,1,1
"211",1,1,1,1,1,1,1
"212",0,0,1,0,0,1,1
"213",0,0,0,1,1,0,0
"214",0,0,0,0,0,1,0
"215",1,1,0,1,1,1,0
"216",0,0,1,0,0,0,1
"217",1,0,0,0,1,1,0
"218",0,0,0,0,0,0,0
"219",1,0,1,1,1,1,0
"220",0,0,1,0,0,1,1
"221",1,1,1,1,1,1,1
"222",0,0,1,0,0,1,1
"223",1,0,0,0,1,1,0
"224",0,0,1,0,0,0,1
"225",0,1,0,0,0,0,0
"226",0,0,0,0,0,1,1
"227",1,0,1,0,0,1,1
"228",0,0,0,0,0,1,0
"229",0,0,1,0,0,0,0
"230",1,1,1,1,1,0,1
"231",0,0,1,0,0,1,1
"232",1,0,0,1,1,0,0
"233",0,0,1,0,0,1,0
"234",1,0,0,1,1,1,0
"235",0,0,1,0,0,0,1
"236",1,0,0,1,1,1,0
"237",0,0,0,0,0,0,1
"238",1,0,0,0,1,0,0
"239",0,0,0,0,0,0,1
"240",1,1,1,1,1,1,1
"241",0,0,1,0,0,0,1
"242",1,0,0,0,1,1,1
"243",0,0,1,0,0,1,1
"244",1,0,1,0,1,1,0
"245",0,0,0,0,1,0,0
"246",0,0,0,0,0,1,0
"247",1,0,0,0,1,1,1
"248",0,0,0,0,0,0,0
"249",1,0,1,0,1,0,1
"250",0,0,1,0,0,0,1
"251",1,0,0,0,1,0,0
"252",0,0,0,0,0,1,0
"253",1,0,1,1,1,1,1
"254",0,0,0,0,0,1,0
"255",1,0,0,0,1,0,0
"256",0,0,0,0,0,1,0
"257",1,1,0,1,1,1,1
"258",0,0,1,0,0,1,1
"259",1,0,0,0,1,0,0
"260",0,0,1,0,0,0,1
"261",1,0,0,0,1,1,0
"262",0,0,1,0,0,1,1
"263",1,1,1,0,1,0,1
"264",0,0,0,0,0,1,1
"265",0,0,0,1,1,1,1
"266",0,0,1,0,0,1,1
"267",0,0,0,0,1,0,1
"268",0,0,1,0,0,1,1
"269",1,1,0,0,0,0,0
"270",0,0,0,0,0,1,0
"271",1,1,0,0,1,0,0
"272",0,0,1,0,0,1,0
"273",1,0,1,0,1,1,1
"274",0,0,1,0,0,1,1
"275",1,0,1,1,1,1,0
"276",0,0,1,0,0,1,1
"277",1,0,1,1,1,1,1
"278",0,0,0,0,0,1,1
"279",1,0,1,0,1,0,1
"280",0,0,1,0,0,1,1
"281",1,0,0,0,1,0,0
"282",0,0,1,0,0,1,1
"283",0,0,0,0,1,0,0
"284",0,0,0,0,0,0,0
"285",1,1,1,0,1,1,1
"286",0,0,1,0,0,0,1
"287",1,1,1,0,1,1,1
"288",0,0,0,0,0,1,0
"289",0,0,0,0,0,1,0
"290",1,0,1,0,1,1,1
"291",0,0,1,0,0,1,0
"292",1,0,1,0,1,0,0
"293",0,0,1,0,0,0,0
"294",0,1,0,0,1,0,1
"295",0,0,1,0,0,0,1
"296",1,1,1,1,1,1,1
"297",0,0,1,0,0,0,1
"298",1,0,1,1,1,1,0
"299",1,0,0,1,0,0,1
"300",0,0,0,0,0,0,0
"301",1,0,1,0,1,0,1
"302",0,0,0,0,0,0,0
"303",1,1,1,1,1,1,1
"304",0,0,1,0,0,0,1
"305",1,0,0,1,1,1,0
"306",0,0,1,0,0,1,1
"307",1,1,1,0,1,0,1
"308",0,0,0,0,0,0,0
"309",0,0,0,0,1,1,0
"310",0,0,0,0,0,0,0
"311",1,0,0,1,0,0,0
"312",0,0,1,0,0,0,1
"313",1,1,1,1,1,1,1
"314",0,0,1,0,0,1,1
"315",1,1,1,1,1,1,1
"316",0,0,0,0,0,1,0
"317",1,0,0,0,1,0,0
"318",0,0,1,0,0,1,0
"319",0,0,1,0,0,0,1
"320",1,0,0,0,1,0,0
"321",0,0,1,0,0,1,1
"322",0,0,0,0,1,0,0
"323",0,0,0,0,0,0,0
"324",1,0,0,1,1,1,1
"325",0,0,0,0,0,0,0
"326",1,1,0,1,1,1,0
"327",0,0,1,0,0,1,1
"328",1,1,1,1,1,1,1
"329",0,0,1,0,0,1,1
"330",0,0,0,0,1,0,0
"331",0,0,1,0,0,1,1
"332",1,0,1,0,1,0,1
"333",0,0,1,0,0,1,1
"334",1,0,0,1,1,1,0
"335",0,0,1,0,0,1,1
"336",1,1,1,1,1,1,1
"337",0,0,1,0,0,1,1
"338",1,0,1,0,1,0,1
"339",0,0,0,0,0,1,1
"340",0,0,1,0,0,1,1
"341",0,0,0,0,0,0,0
"342",1,0,1,1,1,1,1
"343",1,0,0,1,1,1,1
"344",0,0,1,0,0,1,1
"345",1,0,1,1,1,1,1
"346",0,0,1,0,0,0,1
"347",1,0,1,0,1,1,1
"348",0,0,1,0,0,1,1
"349",1,1,1,0,1,0,1
"350",0,0,0,0,0,0,0
"351",1,1,1,1,1,1,1
"352",0,0,1,0,0,1,1
"353",1,0,0,1,1,0,0
"354",0,0,1,0,0,0,1
"355",1,0,1,0,1,0,1
"356",0,0,1,0,0,1,1
"357",1,1,1,1,1,0,0
"358",0,0,1,0,0,0,1
"359",1,1,0,1,0,0,0
"360",0,0,1,0,0,1,1
"361",1,0,1,1,1,1,1
"362",0,0,0,0,0,0,0
"363",1,0,1,0,1,0,0
"364",1,0,1,0,1,1,1
"365",0,0,0,0,0,1,0
"366",1,0,0,0,1,1,0
"367",0,0,0,0,0,0,0
"368",1,0,1,0,1,1,1
"369",0,0,0,0,0,1,0
"370",1,0,1,1,1,1,1
"371",0,0,1,0,0,1,1
"372",1,1,1,1,1,1,1
"373",0,0,0,0,0,0,0
"374",1,1,1,1,1,1,1
"375",0,0,0,0,0,1,0
"376",1,1,1,0,0,0,0
"377",0,0,1,0,0,0,1
"378",1,1,1,1,1,1,1
"379",0,0,0,0,0,1,0
"380",0,0,1,0,0,0,1
"381",1,0,0,1,1,1,0
"382",0,0,1,0,0,1,0
"383",1,1,1,1,1,1,1
"384",0,0,1,0,0,1,1
"385",1,0,1,0,1,0,0
"386",0,0,1,0,0,0,1
"387",1,0,1,0,1,0,1
"388",0,0,0,0,0,0,0
"389",1,1,1,0,1,0,1
"390",0,0,0,0,0,1,0
"391",0,0,0,0,0,0,0
"392",1,0,0,0,1,1,1
"393",0,0,1,0,0,0,1
"394",1,0,1,0,1,0,1
"395",0,0,1,0,0,0,1
"396",1,0,1,1,1,1,1
"397",0,0,0,0,0,0,1
"398",0,0,1,0,0,1,1
"399",1,1,1,0,1,1,0
"400",0,0,1,0,0,0,1
"401",1,0,1,1,1,1,1
"402",0,0,1,0,0,1,0
"403",1,0,1,1,1,1,1
"404",0,0,0,0,0,1,0
"405",1,0,0,1,0,0,0
"406",0,0,0,0,0,1,0
"407",1,0,1,1,1,1,1
"408",0,0,0,0,0,1,0
"409",1,0,1,0,1,0,0
"410",0,0,1,0,0,0,1
"411",1,0,1,1,1,0,1
"412",0,0,0,0,0,1,1
"413",1,0,1,0,1,0,1
"414",0,0,0,0,0,1,0
"415",1,1,0,1,1,1,0
"416",0,0,0,0,0,1,0
"417",1,0,1,0,1,0,1
"418",1,0,1,1,0,0,1
"419",0,0,0,0,0,0,0
"420",1,1,1,1,1,1,0
"421",0,0,1,0,0,0,1
"422",1,0,1,1,1,1,1
"423",0,0,1,0,0,1,1
"424",1,0,0,0,1,0,1
"425",0,0,0,0,0,1,0
"426",0,0,0,0,1,1,0
"427",0,0,1,0,0,1,0
"428",1,0,1,1,1,1,1
"429",0,0,0,0,0,0,0
"430",1,0,1,0,1,0,0
"431",0,0,0,0,0,0,0
"432",1,0,0,0,1,0,0
"433",0,0,1,0,0,0,0
"434",1,0,0,1,1,0,0
"435",0,0,1,0,0,0,1
"436",1,0,0,0,1,0,0
"437",0,0,1,0,0,0,1
"438",1,0,0,0,0,1,0
"439",0,0,0,0,0,1,0
"440",1,1,1,0,1,0,1
"441",0,0,1,0,0,1,1
"442",1,0,0,0,0,0,0
"443",0,0,0,0,0,0,0
"444",0,1,1,1,1,0,1
"445",0,0,0,0,0,1,1
"446",0,0,1,0,0,1,1
"447",0,0,1,0,0,1,1
"448",1,1,1,1,1,1,1
"449",0,0,0,0,0,1,0
"450",1,1,0,1,1,1,0
"451",0,0,1,0,0,1,1
"452",1,0,0,1,1,1,0
"453",0,0,1,0,0,0,0
"454",1,0,1,1,1,0,1
"455",0,0,0,0,0,1,0
"456",1,1,1,0,1,1,1
"457",0,0,1,0,0,1,0
"458",1,1,0,0,1,0,0
"459",0,0,0,0,0,1,0
"460",1,0,1,1,1,0,1
"461",0,0,1,0,0,1,0
"462",1,0,1,1,1,1,0
"463",0,0,1,0,0,1,1
"464",1,1,0,0,1,1,0
"465",0,0,0,0,0,1,0
"466",0,1,0,1,1,0,0
"467",0,0,0,0,0,0,1
"468",1,1,0,0,1,1,0
"469",1,0,1,0,1,0,1
"470",0,0,1,0,0,1,1
"471",1,0,1,1,1,1,1
"472",0,0,0,0,0,0,0
"473",1,1,1,1,1,1,1
"474",0,0,1,0,0,1,1
"475",0,0,0,0,0,0,0
"476",1,0,1,1,1,1,1
"477",0,0,1,0,0,1,1
"478",1,1,1,0,1,0,1
"479",0,0,0,0,0,1,0
"480",0,0,0,0,0,1,0
"481",1,0,0,1,1,1,0
"482",0,0,0,0,0,0,0
"483",0,1,0,0,1,1,0
"484",0,0,1,0,0,0,0
"485",1,1,1,1,1,1,1
"486",0,0,1,0,0,0,1
"487",1,1,1,1,1,0,1
"488",0,0,0,0,0,0,1
"489",1,0,1,1,1,1,1
"490",1,1,1,1,1,0,1
"491",0,0,0,0,0,0,0
"492",1,1,0,0,1,1,0
"493",0,0,1,0,0,1,1
"494",0,0,1,0,0,1,1
"495",1,0,0,1,1,0,0
"496",0,0,1,0,0,1,1
"497",1,0,1,0,0,0,1
"498",0,0,1,0,0,0,0
"499",1,0,1,1,1,1,1
"500",0,0,0,0,0,1,0
"501",1,1,0,0,0,0,0
"502",0,0,0,0,0,0,0
"503",1,0,0,1,1,1,0
"504",0,0,1,0,0,1,1
"505",1,0,1,1,1,1,1
"506",0,0,1,0,0,1,0
"507",1,0,0,1,1,0,0
"508",0,0,1,0,0,1,1
"509",1,0,0,1,1,1,0
"510",0,0,0,0,0,0,0
"511",1,1,1,1,1,0,1
"512",0,0,0,0,0,1,0
"513",1,0,0,1,1,1,0
"514",0,0,1,0,0,1,0
"515",0,0,1,0,0,1,1
"516",1,0,0,0,0,0,0
"517",0,0,1,0,0,1,1
"518",1,0,0,0,1,0,0
"519",0,0,1,0,0,1,1
"520",1,0,1,1,1,0,0
"521",0,0,0,0,0,0,1
"522",1,0,0,0,0,0,1
"523",0,0,0,0,0,1,0
"524",0,1,0,0,1,0,0
"525",0,0,0,0,1,1,0
"526",0,0,0,0,0,1,0
"527",1,0,1,1,1,1,1
"528",0,0,0,0,0,1,1
"529",1,1,0,0,1,0,0
"530",0,0,1,0,0,0,1
"531",1,0,1,1,1,1,1
"532",0,0,1,0,0,1,1
"533",1,0,0,0,0,1,1
"534",0,0,0,0,0,0,0
"535",1,0,1,1,1,1,0
"536",0,0,1,0,0,1,1
"537",1,0,1,0,1,0,0
"538",0,0,1,0,0,0,1
"539",0,0,0,0,0,1,0
"540",1,1,1,0,1,1,1
"541",0,0,1,0,0,0,0
"542",1,1,1,1,1,1,0
"543",0,0,0,0,0,0,0
"544",1,1,0,0,1,1,0
"545",0,0,0,0,0,0,0
"546",1,1,1,0,1,0,0
"547",0,0,1,0,0,0,1
"548",1,0,1,1,1,1,1
"549",0,0,0,0,0,0,0
"550",1,1,0,0,1,0,0
"551",0,0,1,0,0,1,1
"552",1,0,0,0,1,1,0
"553",0,0,0,0,0,1,0
"554",1,0,0,1,0,0,0
"555",0,0,0,0,0,0,0
"556",1,0,0,0,1,0,0
"557",0,0,0,0,0,0,0
"558",1,0,0,0,1,0,0
"559",0,0,1,0,0,1,0
"560",1,0,0,0,1,0,0
"561",1,1,0,1,1,0,1
"562",0,0,0,0,0,0,0
"563",0,0,0,0,0,0,0
"564",1,0,1,0,1,1,1
"565",0,0,1,0,0,0,1
"566",1,1,0,0,1,0,0
"567",0,0,1,0,0,1,1
"568",1,1,1,1,1,1,1
"569",0,0,1,0,0,0,1
"570",1,1,1,1,1,1,1
"571",0,0,0,0,0,1,0
"572",1,1,1,0,1,1,1
"573",0,0,0,0,0,0,0
"574",0,1,0,0,1,1,0
"575",0,0,1,0,0,1,1
"576",0,0,1,0,0,1,0
"577",1,1,1,0,1,1,1
"578",0,0,0,0,0,0,0
"579",1,0,1,1,1,1,0
"580",0,0,1,0,0,1,0
"581",1,0,0,1,1,1,0
"582",0,0,1,0,0,1,1
"583",1,0,0,0,1,0,0
"584",0,0,0,0,0,0,1
"585",1,0,1,1,1,0,1
"586",0,0,0,0,0,0,0
"587",1,1,1,1,1,1,0
"588",0,0,1,0,0,0,1
"589",1,0,1,0,1,0,0
"590",0,0,1,0,0,0,0
"591",0,0,1,0,0,0,1
"592",1,1,1,1,1,0,1
"593",0,0,1,0,0,0,1
"594",1,1,1,1,1,1,1
"595",0,0,0,0,0,1,1
"596",1,1,1,0,1,1,1
"597",0,0,1,0,0,1,1
"598",0,0,0,1,0,1,0
"599",0,0,1,0,0,1,1
"600",1,1,0,0,1,0,1
"601",0,0,1,0,0,1,0
"602",1,0,0,0,1,0,0
"603",0,0,1,0,0,1,1
"604",0,0,1,0,0,0,1
"605",0,0,0,0,0,0,0
"606",0,0,1,0,0,1,1
"607",1,0,1,0,0,1,0
"608",0,0,0,0,0,0,1
"609",1,1,1,1,1,1,1
"610",0,0,0,0,0,0,0
"611",1,0,1,1,1,1,0
"612",0,0,1,0,0,0,1
"613",1,0,0,0,1,0,0
"614",1,1,0,0,1,0,0
"615",0,0,1,0,0,1,1
"616",1,0,0,0,1,1,0
"617",0,0,1,0,0,0,1
"618",0,1,0,1,1,0,0
"619",0,0,1,0,0,1,0
"620",0,0,0,0,1,1,0
"621",0,0,1,0,0,0,1
"622",1,0,0,1,1,0,0
"623",0,0,1,0,0,0,0
"624",1,1,1,1,1,1,1
"625",0,0,1,0,0,0,1
"626",1,1,1,1,1,1,1
"627",0,0,1,0,0,0,1
"628",1,1,1,0,1,1,1
"629",0,0,0,0,0,0,0
"630",1,0,0,1,1,1,0
"631",0,0,0,0,0,1,0
"632",0,0,0,0,0,0,0
"633",0,0,1,0,0,1,1
"634",0,0,1,0,0,1,0
"635",1,0,0,0,1,0,0
"636",0,0,0,0,0,0,0
"637",0,0,0,0,0,0,0
"638",1,0,0,0,1,1,0
"639",0,0,0,0,0,0,0
"640",1,0,1,0,1,0,1
"641",0,0,0,0,0,0,0
"642",1,1,0,0,1,0,0
"643",0,0,1,0,0,0,1
"644",0,1,0,1,1,1,0
"645",0,0,0,0,0,1,0
"646",1,1,1,0,1,1,0
"647",0,0,1,0,0,0,1
"648",0,0,0,1,1,0,0
"649",0,0,1,0,0,0,0
"650",1,0,1,0,1,1,0
"651",0,0,0,0,0,0,0
"652",1,1,0,0,1,0,0
"653",0,0,0,0,0,0,0
"654",1,0,0,0,0,1,0
"655",0,0,1,0,0,1,1
"656",1,1,1,1,1,1,1
"657",0,0,1,0,0,1,1
"658",1,1,1,0,1,1,1
"659",0,0,1,0,0,1,0
"660",1,0,1,0,1,0,1
"661",0,1,0,1,1,0,0
"662",0,0,0,0,0,1,0
"663",1,1,1,1,1,1,0
"664",0,0,1,0,0,1,1
"665",1,1,1,0,1,1,1
"666",0,0,0,0,0,0,1
"667",1,0,0,1,1,1,0
"668",0,0,0,0,0,0,1
"669",1,0,0,0,1,0,1
"670",0,0,0,0,0,1,1
"671",0,1,0,0,0,1,0
"672",0,0,1,0,0,1,1
"673",0,0,0,0,1,1,0
"674",0,0,1,0,0,1,1
"675",0,0,0,0,0,1,0
"676",1,0,0,0,1,0,0
"677",0,0,1,0,0,1,1
"678",1,1,0,0,0,0,0
"679",0,0,0,0,0,0,0
"680",1,1,1,1,1,1,1
"681",0,0,1,0,0,1,1
"682",1,0,1,1,0,1,1
"683",0,0,0,0,0,1,0
"684",1,0,1,1,1,0,0
"685",0,0,1,0,0,0,1
"686",1,0,1,0,1,0,1
"687",0,0,1,0,0,0,1
"688",1,0,1,1,1,1,1
"689",0,0,1,0,0,1,0
"690",0,0,0,0,1,0,0
"691",0,0,1,0,0,1,1
"692",0,0,0,0,0,1,0
"693",0,0,0,0,0,1,1
"694",1,0,1,0,1,1,0
"695",1,0,1,1,1,1,0
"696",0,0,1,0,0,1,0
"697",1,0,1,1,1,0,1
"698",0,0,1,0,0,0,1
